Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,208,10.1016/j.msea.2019.05.056,,FCC,,,,,,,200.0,,,,,,,,2019
Al0.3 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.3 Co1 Cr1 Fe1 Ni1,139,10.1016/j.scriptamat.2018.08.048,WROUGHT,,,,,0.71,,,,T,25.0,900.0,1074.0,25.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,137,10.1016/j.matdes.2019.107698,CAST,FCC,,,,,,,117.0,,,,,,,,2019
,Al0.3 Co1 Cr1 Fe1 Ni1,140,10.1016/j.scriptamat.2018.10.023,WROUGHT,,,,,,,,,T,25.0,143.0,400.0,65.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,140,10.1016/j.scriptamat.2018.10.023,WROUGHT,,,,,,,,,T,25.0,471.0,850.0,45.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,140,10.1016/j.scriptamat.2018.10.023,WROUGHT,,,,,,,,,T,25.0,841.0,1050.0,35.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,140,10.1016/j.scriptamat.2018.10.023,WROUGHT,,,,,,,,,T,25.0,161.0,1650.0,7.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,140,10.1016/j.scriptamat.2018.10.023,WROUGHT,,,,,,,,,T,25.0,187.0,1850.0,5.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,150,10.1016/j.actamat.2018.12.010,WROUGHT,,,,,,,,,T,25.0,840.0,1039.0,32.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,150,10.1016/j.actamat.2018.12.010,WROUGHT,FCC,,,,,,,,T,25.0,159.0,410.0,65.0,,,2018
,Al0.3 Co1 Cr1 Fe1 Ni1,169,10.1088/2053-1591/ab0597,CAST,FCC,,,,,,,132.0,C,300.0,,,,,,2019
,Al0.3 Co1 Cr1 Fe1 Ni1,169,10.1088/2053-1591/ab0597,CAST,FCC,,,,,,,147.0,C,340.0,,,,,,2019
,Al0.3 Co1 Cr1 Fe1 Ni1,169,10.1088/2053-1591/ab0597,CAST,FCC,,,,,,,165.0,C,430.0,,,,,,2019
,Al0.3 Co1 Cr1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,FCC,,,,,,,160.0,,,,,,,,2019
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,33,10.1063/1.3587228,,FCC,,,,,7.5,,,,25.0,,,,,190.0,2011
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,40,10.1016/j.jallcom.2014.11.064,CAST,BCC,,,,105.0,9.5,,353.0,C,25.0,1188.0,,50.0,,63.0,2014
Al0.304 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,0.7,,,,T,25.0,860.0,1050.0,48.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,2.7,,,,T,25.0,690.0,930.0,51.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,3.8,,,,T,25.0,550.0,800.0,64.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,,FCC,,,,53.0,,,,T,25.0,260.0,620.0,87.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,144.0,,,,T,25.0,159.0,410.0,65.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,144.0,,,,T,25.0,215.0,520.0,43.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,144.0,,,,T,25.0,285.0,540.0,55.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,23.0,,,,T,25.0,263.0,589.0,60.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,23.0,,,,T,25.0,490.0,840.0,45.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,FCC,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,175.0,335.0,58.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,305.0,525.0,44.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,280.0,570.0,44.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,FCC,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,FCC,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,,,,,,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,FCC,,,,,,,,C,25.0,,,25.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,FCC,,,,,,,,T,25.0,210.0,500.0,58.0,,,2018
,Al0.304 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,832.0,1174.0,7.7,,,2018
Al0.304 Cr0.435 Fe0.435 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.304 Cr0.435 Fe0.435 Ni1,199,10.1016/j.jallcom.2018.08.176,CAST,,,,,,,,,T,25.0,461.0,835.0,30.0,,,2018
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,,,,,,,,,,,,,,,,,,,
,Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,105,10.3390/ma12071136,CAST,,,,,,,1.52,,C,25.0,360.0,,9.0,,,2019
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,6.7,,657.0,,25.0,,,,,,2006
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,,,,,,,,,,,,,,,,,,,,
,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,25,10.1007/s11661-006-0081-3,CAST,BCC,,,,,7.2,,594.0,,25.0,,,,,179.0,2006
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,,,,,,,,,,,,,,,,,,,
,Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,105,10.3390/ma12071136,CAST,,,,,,,1.5,,C,25.0,342.0,,44.0,,,2019
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,,,,,,,,,,,,,,,,,,,
,Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,105,10.3390/ma12071136,CAST,,,,,,,1.46,,C,25.0,300.0,,63.0,,,2019
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,213,10.1016/j.jmst.2018.12.014,CAST,FCC,,,,,,,279.6,C,25.0,268.0,,,,,2018
Al0.333 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667 V1,,,,,,,,,,,,,,,,,,,,
,Al0.333 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667 V1,208,10.1016/j.msea.2019.05.056,,,,,,,,,576.0,,,,,,,,2019
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,,,,,,,,,,,,,,,,,,,,
,Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,18,10.1016/j.msea.2010.05.052,CAST,BCC,,,,,7.0,,396.0,,25.0,,,,,206.0,2010
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,,,,,,,,,,,,,,,,,,,,
,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,100.0,7.6,,530.0,C,25.0,2035.0,2105.0,5.0,,111.0,2014
,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,100.0,7.4,,,C,25.0,2035.0,2105.0,4.5,,,2014
,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,100.0,7.4,,,C,800.0,796.0,851.0,50.0,,,2014
,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,100.0,7.4,,,C,1000.0,220.0,225.0,50.0,,,2014
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,,,,,,,,,,,,,,,,,,,
,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,866.0,1223.0,7.9,,,2018
,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,650.0,400.0,468.0,6.3,,,2018
,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,700.0,220.0,340.0,5.4,,,2018
,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,C,25.0,1166.0,,30.2,,,2018
Al0.348 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.348 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,242.0,529.0,47.0,,,2018
Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,,,,,,,,,,,,,,
,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,25.0,942.0,,,,,2018
,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,400.0,833.0,,,,,2018
,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,600.0,326.0,,,,,2018
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,6.8,,664.0,,25.0,,,,,,2006
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,,,,,,,,,,,,,,,,,,,,
,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,25,10.1007/s11661-006-0081-3,CAST,BCC,,,,,7.3,,577.0,,25.0,,,,,180.0,2006
Al0.364 Cr0.455 Fe0.455 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.364 Cr0.455 Fe0.455 Ni1,199,10.1016/j.jallcom.2018.08.176,CAST,,,,,,,,,T,25.0,479.0,956.0,12.7,,,2018
Al0.375 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.375 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC,,,,,7.5,,131.0,,25.0,,,,,211.0,2009
,Al0.375 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC,,,,,7.5,,196.0,,25.0,,,,,211.0,2009
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC,,,,,7.5,,182.0,T,25.0,244.0,,45.0,,209.0,2013
Al0.391 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.391 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,275.0,610.0,36.0,,,2018
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,33,10.1063/1.3587228,,FCC,,,,,7.3,,,,25.0,,,,,186.0,2011
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,140.0,9.1,,500.0,C,25.0,1841.0,2269.0,10.0,,110.0,2014
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,140.0,9.0,,,C,25.0,1841.0,2269.0,10.0,,,2014
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,140.0,9.0,,,C,800.0,796.0,834.0,50.0,,,2014
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,140.0,9.0,,,C,1000.0,298.0,455.0,50.0,,,2014
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,BCC,,,,,,9.08,,C,23.0,1841.0,,,,,2019
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,BCC,,,,,,9.08,,C,1000.0,298.0,,,,,2019
,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,BCC,,,,,,9.08,,C,1200.0,89.0,,,,,2019
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,6.9,,646.0,,25.0,,,,,,2006
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,,,,,,,,,,,,,,,,,,,,
,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,25,10.1007/s11661-006-0081-3,CAST,BCC,,,,,7.3,,579.0,,25.0,,,,,182.0,2006
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,,,,,,,,,,,,,,,,,,,
,Al0.429 Ca0.286 Li1 Mg1 Si0.143,105,10.3390/ma12071136,CAST,,,,,,,1.57,,C,25.0,418.0,,13.0,,,2019
Al0.429 Cr0.476 Fe0.476 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.429 Cr0.476 Fe0.476 Ni1,199,10.1016/j.jallcom.2018.08.176,CAST,,,,,,,,,T,25.0,610.0,1173.0,9.1,,,2018
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC+BCC,,,,,7.4,,183.0,T,25.0,285.0,,35.0,,208.0,2013
Al0.435 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.435 Co1 Cr1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,320.0,700.0,30.0,,,2018
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,25.0,545.0,1110.0,20.0,,,2018
,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,-70.0,570.0,1143.0,18.0,,,2018
,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,-192.0,700.0,1000.0,9.0,,,2018
,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,545.0,1110.0,20.0,,,2018
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,25.0,545.0,1050.0,16.5,,,2018
,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,-70.0,595.0,1168.0,15.8,,,2018
,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,159,10.1016/j.matchar.2018.06.036,,,,,,,,,,T,-192.0,700.0,1000.0,7.0,,,2018
,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,545.0,1050.0,16.5,,,2018
Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,107,10.1038/s41467-019-08460-2,WROUGHT,,,,,,,,,T,25.0,1263.0,,21.4,,,2019
,Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,107,10.1038/s41467-019-08460-2,WROUGHT,,,,,,,,,T,25.0,1154.0,,25.0,,,2019
,Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,107,10.1038/s41467-019-08460-2,WROUGHT,,,,,,,,,T,25.0,1490.0,,16.0,,,2019
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC+BCC,,,,,7.4,,220.0,T,25.0,331.0,,29.0,,206.0,2013
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,23,10.1149/1.2744133,CAST,,,,,,7.7,,415.0,,25.0,,,,,,2007
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,23,10.1149/1.2744133,CAST,,,,,,7.7,,505.0,,25.0,,,,,,2007
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,23,10.1149/1.2744133,CAST,,,,,,7.8,,736.0,,25.0,,,,,,2007
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,11,10.1016/j.intermet.2012.09.008,CAST,FCC+Sec.,,,,,7.4,,395.0,,25.0,,,,,,2012
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,10,10.1016/j.wear.2009.10.013,CAST,BCC+Sec.,,,,,7.2,,639.0,,25.0,,,,,,2009
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,213,10.1016/j.jmst.2018.12.014,CAST,,,,,,,,299.2,C,25.0,544.0,,,,,2018
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,9,10.1002/adem.200900171,CAST,FCC+BCC+Sec.,,,,200.0,7.3,,586.0,,25.0,,,,,,2010
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,13,10.1016/j.jallcom.2008.11.059,CAST,FCC+BCC,,,,,7.1,,,C,25.0,1580.0,2389.0,,17.0,161.0,2008
Al0.5 Co1 Cr1 Cu1 Fe1,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1,20,10.3166/acsm.31.633-648,,FCC,,,,,7.4,,207.0,,25.0,,,,,187.0,2019
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,23,10.1149/1.2744133,CAST,,,,,,7.6,,300.0,,25.0,,,,,193.0,2007
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,24,10.2320/matertrans.47.1395,CAST,FCC,,,,,7.6,,225.0,,25.0,,,,,193.0,2006
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,25,10.1007/s11661-006-0081-3,CAST,FCC,,,,,7.6,,215.0,,25.0,,,,,193.0,2006
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,1000.0,150.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,25.0,388.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,300.0,411.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,500.0,421.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,700.0,426.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,900.0,230.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,64,10.1007/s11661-005-0218-9,CAST,FCC,,,,,7.9,,,C,1100.0,80.0,,,,,2005
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,1284.0,1344.0,7.6,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,T,25.0,1290.0,1400.0,5.0,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,650.0,790.0,27.0,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,T,700.0,180.0,185.0,5.0,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,700.0,160.0,180.0,12.0,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,147,10.1016/j.vacuum.2018.12.009,CAST,FCC,,,,,,,48.8,,,,,,,,2018
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,FCC,,,,,,,200.0,,,,,,,,2019
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,FCC,,,,,,,220.0,,,,,,,,2019
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,24,10.2320/matertrans.47.1395,CAST,FCC,,,,,7.5,,272.0,,25.0,,,,,191.0,2006
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,24,10.2320/matertrans.47.1395,CAST,FCC,,,,,7.3,,321.0,,25.0,,,,,188.0,2006
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,24,10.2320/matertrans.47.1395,CAST,FCC+BCC,,,,,7.2,,458.0,,25.0,,,,,186.0,2006
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,24,10.2320/matertrans.47.1395,CAST,FCC+Sec.,,,,,7.1,,590.0,,25.0,,,,,184.0,2006
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,7.0,,636.0,,25.0,,,,,,2006
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,,,,,,,,,,,,,,,,,,,
